download_kbps,is_blacklisted,sim_mobile_carrier_id,network_mobile_carrier_id,raw_sim_carrier_id,raw_network_carrier_id
5242,0,3474.0,3474.0,1258,8898.0
1122,0,2961.0,3516.0,195,1020.0
30823,0,3516.0,3516.0,354,354.0
6064,0,3923.0,3923.0,109532,109532.0
603,0,2709.0,2709.0,3390,3390.0
3943,0,3474.0,3474.0,3638,3638.0
1045,0,3516.0,3516.0,692,143.0
106,0,2712.0,2712.0,1221,1221.0
11340,0,3516.0,3516.0,143,143.0
3619,0,3430.0,,846,
286,0,3516.0,3516.0,354,354.0
51213,0,3516.0,,207,
7323,0,2709.0,2709.0,1707,1707.0
34872,0,2709.0,,377,
16468,0,2715.0,2709.0,31664,3390.0
10935,0,2709.0,,341,
302,0,3516.0,3516.0,692,1096.0
2349,0,,,732,732.0
6319,0,3516.0,,207,
6490,0,2709.0,2709.0,1123,1123.0
790,0,2709.0,2709.0,1550,1550.0
630,0,2699.0,,4372,133271.0
2559,0,2709.0,2709.0,1384,1384.0
1743,0,3474.0,3474.0,2792,2792.0
2567,0,3430.0,3430.0,1137,1137.0
636,0,3474.0,,1013,
701,0,3516.0,3516.0,1264,1264.0
1492,0,2709.0,2709.0,1216,1216.0
2251,0,3430.0,3430.0,1922,1250.0
9990,0,2709.0,2709.0,3390,3390.0
5666,0,3516.0,3516.0,806,806.0
39851,0,3094.0,,1,
1964,0,3430.0,,785,
46802,0,3516.0,3516.0,143,354.0
6965,0,3516.0,3516.0,354,354.0
20136,0,3516.0,,189,
538,0,3474.0,3474.0,3638,3638.0
9904,0,3923.0,3923.0,99966,99966.0
27020,0,3516.0,3516.0,1096,692.0
3219,0,,,732,732.0
4375,0,2709.0,2709.0,878,494.0
32,0,2712.0,2712.0,1386,1386.0
38631,0,2709.0,2709.0,1707,1707.0
509,0,3516.0,3516.0,1096,1096.0
7892,0,2709.0,2709.0,1550,1550.0
4878,0,2709.0,3516.0,3390,17511.0
29644,0,3516.0,,207,
476,0,2709.0,,346,
16152,0,2709.0,2709.0,1686,1686.0
764,0,3474.0,3474.0,3638,3638.0
31,0,3516.0,3516.0,692,692.0
1676,0,2699.0,2699.0,1981,1981.0
5903,0,2709.0,2709.0,1326,1128.0
5179,0,2709.0,2709.0,1326,1128.0
1932,0,3516.0,,289,
2345,0,3516.0,,257,
1032,0,2715.0,2715.0,912,912.0
3666,0,3430.0,3430.0,1922,1250.0
998,0,3516.0,3516.0,1291,1599.0
5342,0,,,0,
491,0,2709.0,2709.0,1326,1326.0
356,0,2709.0,,315,
779,0,2699.0,2699.0,1421,1421.0
1002,0,2709.0,2709.0,4945,4945.0
30382,0,3516.0,,207,
1552,0,2709.0,,458,
4043,0,,2709.0,732,98008.0
3869,0,2709.0,2709.0,494,494.0
3969,0,3516.0,3516.0,486,486.0
164,0,,2715.0,732,20806.0
6361,0,3430.0,3430.0,1202,1202.0
10294,0,3516.0,3516.0,354,354.0
16376,0,3430.0,3430.0,986,6.0
18011,0,3516.0,3516.0,486,486.0
5159,0,2709.0,3474.0,4945,97763.0
42845,0,3516.0,3516.0,354,354.0
669,0,2709.0,2709.0,1499,1499.0
20584,0,2709.0,2709.0,494,494.0
31739,0,3516.0,3516.0,354,354.0
7309,0,2709.0,,554,
25,0,3516.0,,145,
4408,0,3430.0,3430.0,1922,1250.0
5017,0,3430.0,3430.0,1391,706.0
29206,0,2715.0,2715.0,875,875.0
711,0,3430.0,3430.0,1042,1042.0
1703,0,2709.0,2709.0,1686,1686.0
38376,0,2709.0,2709.0,4945,543.0
464,0,2709.0,,332,
3119,0,3516.0,3516.0,548,548.0
15162,0,2709.0,2709.0,1707,1707.0
719,0,3430.0,3430.0,1929,1183.0
30614,0,3516.0,3474.0,34053,311.0
1038,0,3516.0,2709.0,29187,1326.0
1744,0,3516.0,,336,732.0
2258,0,2715.0,2715.0,1626,1626.0
24957,0,2709.0,,346,
3087,0,2709.0,2709.0,543,2582.0
889,0,2709.0,2709.0,1686,1686.0
426,0,2709.0,2709.0,494,494.0
2000,0,,,0,
16896,0,3516.0,3474.0,36740,5317.0
20352,0,3516.0,3516.0,806,806.0
1033,0,2699.0,2699.0,1481,1481.0
323,0,2699.0,2699.0,1421,1421.0
43230,0,3516.0,3516.0,692,692.0
13357,0,2709.0,2709.0,1123,1123.0
3233,0,2715.0,2715.0,1626,1626.0
6545,0,3516.0,3516.0,354,354.0
